Название товара:,Цена по акции:
"Колбаса МОЛОЧНАЯ, ГОСТ, вареная (Великолукский), 500г",139.99
"СОК J7, апельсиновый, 970мл",139.99
"Колбаса МОЛОЧНАЯ, ГОСТ, вареная (Великолукский), 500г",139.99
"Молоко сгущенное РОГАЧЕВЪ, ГОСТ, 8,5%, 380г",142.99
"Сок Я, Яблочный осветленный, 970мл",143.99
"Сок Я, Яблочный осветленный, 970мл",143.99
"Сок Я, Томатный с мякотью, 970мл",143.99
"Сок Я, Томатный с мякотью, 970мл",143.99
"Сок J7 Фреш Тэйст мультифрукт с мякотью, 850мл",144.99
"Сок J7 Фреш Тэйст яблоко осветленный, 850мл",144.99
"J7 Fresh taste Сок Ягодный микс 0,85л пл/бут:4",144.99
"Мидии ВИЧИ, Маринованные, в масле, 200г",144.99
"Мидии ВИЧИ, Маринованные, в масле, 200г",144.99
"J7 Fresh taste Сок Ягодный микс 0,85л пл/бут:4",144.99
"Сок J7 Фреш Тэйст апельсин с мякотью, 850мл",144.99
"Сок J7 Фреш Тэйст яблоко-персик с мякотью, 850мл",144.99
"Сок J7 Фреш Тэйст мультифрукт с мякотью, 850мл",144.99
"Сок J7 Фреш Тэйст яблоко-персик с мякотью, 850мл",144.99
"Мидии ВИЧИ, Маринованные, в масле, 200г",144.99
"Сливки ПРОСТОКВАШИНО, стерилизованные, 20%, 350мл",144.99
"Плов ДОМАШНИЙ ОЧАГ с курой, 300г",145.99
"Бульмени ГОРЯЧАЯ ШТУЧКА, Говядина/свинина, 900г",149.90
"Баклажаны, 1кг",149.90
"Пицца ЦЕЗАРЬ, с ветчиной и грибами, 420г",149.99
"Колбаса ДОКТОРСКАЯ, ГОСТ, мини, 1 штука (Великолукский МК), 500г",149.99
"Чай AKBAR Цейлон черный крупнолистовой, 100г",149.99
"Чай AKBAR Цейлон черный крупнолистовой, 100г",149.99
"Маслины ИБЕРИКА, без косточки, 360г",149.99
"Биойогурт питьевой АКТИВИА, Злаки, 870г",149.99
"Пицца ЦЕЗАРЬ, с ветчиной и грибами, 420г",149.99
"ГОВЯДИНА ТУШЕНАЯ, высший сорт (Курганский МК), 338г",149.99
"Колбаса ДОКТОРСКАЯ, ГОСТ, мини, 1 штука (Великолукский МК), 500г",149.99
"Маслины ИБЕРИКА, крупные с косточкой, 360г",149.99
"Маслины ИБЕРИКА, без косточки, 360г",149.99
"Маслины ИБЕРИКА, крупные с косточкой, 360г",149.99
"Биойогурт АКТИВИА, питьевой, чернослив, 870г",149.99
"Пицца ЦЕЗАРЬ, с ветчиной и грибами, 420г",149.99
"Биойогурт питьевой АКТИВИА, Натуральный, 870мл",149.99
"Салат чука ОКЕАН ВКУСА в ореховом соусе, 200г",149.99
"САЛЯМИ ФИНСКАЯ (Дымов), 330г",149.99
Салат Оливье 250г пл/кон (Корона-ФУД):4,149.99
"Мармелад СЕМЕЙНЫЕ СЕКРЕТЫ малина/клюква/смородина, 260г",149.99
"Колбаса ИНДИЛАЙТ Индейка Докторская вареная, 400г",149.99
"Колбаса ДОКТОРСКАЯ, ГОСТ, мини, 1 штука (Великолукский МК), 500г",149.99
"ГОВЯДИНА ТУШЕНАЯ, высший сорт (Курганский МК), 338г",149.99
"Колбаса ИНДИЛАЙТ Индейка Докторская вареная, 400г",149.99
"Колбаса ИНДИЛАЙТ Индейка Докторская вареная, 400г",149.99
"Колбаса ДОКТОРСКАЯ, вареная, ГОСТ (Владимирский стандарт), 500г",149.99
Салат Оливье 250г пл/кон (Корона-ФУД):4,149.99
"Мармелад СЕМЕЙНЫЕ СЕКРЕТЫ малина/клюква/смородина, 260г",149.99
"САЛЯМИ ФИНСКАЯ (Дымов), 330г",149.99
"САЛЯМИ ФИНСКАЯ (Дымов), 330г",149.99
"Рулет куриный СЕМЕЙНЫЕ СЕКРЕТЫ варено-копченый, 450г",153.99
"Рулет куриный СЕМЕЙНЫЕ СЕКРЕТЫ варено-копченый, 450г",153.99
"Рулет куриный СЕМЕЙНЫЕ СЕКРЕТЫ варено-копченый, 450г",153.99
"Окорок МЯСНИЦКИЙ РЯД копчено-вареный охлажденный, 300г",154.99
"Окорок МЯСНИЦКИЙ РЯД копчено-вареный охлажденный, 300г",154.99
"Сервелат ЗЕРНИСТЫЙ, варено-копченый (Останкино), 420г",155.99
"Черешня, 1кг",159.90
"Сок Я, Виноград, 970мл",159.99
"Котлеты ПЕТЕЛИНКА По-киевски из цыпленка-бройлера охлажденные,
                500г",159.99
"СОК «Я» апельсиновый с мякотью, 970мл",159.99
"СОК «Я» апельсиновый с мякотью, 970мл",159.99
"Нектар «Я» манго с мякотью, 970мл",159.99
"Нектар «Я» вишневый, 970мл",159.99
"Нектар Я, из мандаринов и апельсинов, 970мл",159.99
"Сок Я, Грейпфрут розовый, 970мл",159.99
"Нектар «Я» манго с мякотью, 970мл",159.99
"Сок Я, Виноград, 970мл",159.99
"Нектар Я, из мандаринов и апельсинов, 970мл",159.99
"Напиток Я, Мексиканский микс, 970мл",159.99
"Сок Я, Грейпфрут розовый, 970мл",159.99
"Сок Я, Ананасовый с мякотью, 970мл",159.99
"Котлеты ПЕТЕЛИНКА По-киевски из цыпленка-бройлера охлажденные,
                500г",159.99
"Котлеты ПЕТЕЛИНКА По-киевски из цыпленка-бройлера охлажденные,
                500г",159.99
"Котлеты ПЕТЕЛИНКА По-киевски из цыпленка-бройлера охлажденные,
                500г",159.99
"Сыр ВАЙТ ЧИЗ ФРОМ ЖУКОВКА Камамбер 50%, 125г",159.99
"Сыр ВАЙТ ЧИЗ ФРОМ ЖУКОВКА Камамбер 50%, 125г",159.99
"Котлеты ПЕТЕЛИНКА По-киевски из цыпленка-бройлера охлажденные,
                500г",159.99
"Котлеты ПЕТЕЛИНКА По-киевски из цыпленка-бройлера охлажденные,
                500г",159.99
"Напиток Я, Мексиканский микс, 970мл",159.99
"Нектар «Я» вишневый, 970мл",159.99
"Сок Я, Ананасовый с мякотью, 970мл",159.99
"Сыр БРЕСТ-ЛИТОВСК Гауда 48%, 200г",159.99
"Печенье МИЛКА, с овсяными хлопьями в молочном шоколаде, 168г",159.99
"Шпроты КАПИТАН ВКУСОВ, в масле, 250г",159.99
"Шпроты КАПИТАН ВКУСОВ, в масле, 250г",159.99
"Сыр БРЕСТ-ЛИТОВСК Гауда 48%, 200г",159.99
"Колбаса ЮБИЛЕЙНАЯ сырокопченая (ОМПК), 250г",159.99
"Колбаса ЮБИЛЕЙНАЯ сырокопченая (ОМПК), 250г",159.99
"Сыр БРЕСТ-ЛИТОВСК, 45%, Классический, 200г",159.99
"Масло сладкосливочное БРЕСТ-ЛИТОВСК 82,5%, 180 г",159.99
"Масло сладкосливочное БРЕСТ-ЛИТОВСК 82,5%, 180 г",159.99
"Печенье МИЛКА, с овсяными хлопьями в молочном шоколаде, 168г",159.99
"Колбаса ЮБИЛЕЙНАЯ сырокопченая (ОМПК), 250г",159.99
"Сосиски РУБЛЕВСКИЙ Докторские (Москворецкий), 430г",163.99
"Сосиски РУБЛЕВСКИЙ Докторские (Москворецкий), 430г",163.99
"Сыр БЕЛЕБЕЕВСКИЙ 45%, 190г",169.90
"Чай ПРИНЦЕССА НУРИ черный байховый Магия Бергамота, 100пакетиков",169.99
"Сыр БРЕСТ-ЛИТОВСК, 45%, Классический, 200г",169.99
"Сыр ВКУСНОТЕЕВО Калачеевский 45%, 200г",169.99
"Кондиционер для белья VERNEL®, Детский, 910мл",169.99
"Сыр БРЕСТ-ЛИТОВСК, 45%, Классический, 200г",169.99
"Масло сливочное УАЙТЧИЗ ФРОМ ЖУКОВКА Традиционное 82,5%, 180г",169.99
"Чай ПРИНЦЕССА НУРИ черный байховый Золото Шри-Ланки,
                100пакетиков",169.99
"Сосиски БАВАРУШКА Баварушки вареные (Стародворье), 600г",169.99
"Сыр ЛАИМЕ Гауда Сыропузики 45%, 120г",169.99
"Кондиционер для белья VERNEL®, Свежесть летнего утра, 910мл",169.99
"Чай ПРИНЦЕССА НУРИ черный байховый Золото Шри-Ланки,
                100пакетиков",169.99
"Кондиционер для белья VERNEL®, Свежий бриз, 910мл",169.99
"Колбаса ЕКГФ с брусникой сыровяленая (Новая Столица), 100г",169.99
"Колбаса ЕКГФ с брусникой сыровяленая (Новая Столица), 100г",169.99
"Колбаса ЕКГФ с брусникой сыровяленая (Новая Столица), 100г",169.99
"Кондиционер для белья VERNEL®, Свежесть летнего утра, 910мл",169.99
"Чай ПРИНЦЕССА НУРИ черный байховый Магия Бергамота, 100пакетиков",169.99
"Кондиционер для белья VERNEL®, Гибискус и масло розы, 910мл",169.99
"Сосиски БАВАРУШКА Баварушки вареные (Стародворье), 600г",169.99
"Бульмени ГОРЯЧАЯ ШТУЧКА, Говядина/свинина, 900г",169.99
"Сосиски БАВАРУШКА Баварушки вареные (Стародворье), 600г",169.99
"Кофе НЕСКАФЕ, Классик, 95г",169.99
"Сельдь ЗОЛОТАЯ ФИШKA атлантическая ассорти По-шведски филе
                кусочки, 400г",169.99
"Печенье МИЛКА Сенсейшн c кусочками молочного шоколада, 156г",169.99
"Бульмени ГОРЯЧАЯ ШТУЧКА, Говядина/свинина, 900г",169.99
"Печенье МИЛКА Сенсейшн c кусочками молочного шоколада, 156г",169.99
"Котлеты НЕЖНЫЕ, из индейки, охлажденные (Индилайт), 450г",169.99
"Сыр ВКУСНОТЕЕВО Калачеевский 45%, 200г",169.99
"Котлеты НЕЖНЫЕ, из индейки, охлажденные (Индилайт), 450г",169.99
"Кофе НЕСКАФЕ, Классик, 95г",169.99
"Кондиционер для белья VERNEL®, Свежий бриз, 910мл",169.99
"Кондиционер для белья VERNEL®, Детский, 910мл",169.99
"Сельдь ЗОЛОТАЯ ФИШKA атлантическая ассорти По-шведски филе
                кусочки, 400г",169.99
"Сельдь ЗОЛОТАЯ ФИШKA атлантическая ассорти По-шведски филе
                кусочки, 400г",169.99
"Сыр ЛАИМЕ Гауда Сыропузики 45%, 120г",169.99
"Котлеты НЕЖНЫЕ, из индейки, охлажденные (Индилайт), 450г",169.99
"Кондиционер для белья VERNEL®, Гибискус и масло розы, 910мл",169.99
"Сливки ПРОСТОКВАШИНО, стерилизованные, 20%, 350мл",169.99
"Ассорти грибное ЧУДЕСНЫЙ ЛЕС, 580мл",169.99
"Сливки ПРОСТОКВАШИНО, стерилизованные, 20%, 350мл",169.99
"Смесь фруктово-ореховая ВОСТОЧНЫЙ ГОСТЬ жареная папайя, 150г",174.99
"Смесь фруктово-ореховая ВОСТОЧНЫЙ ГОСТЬ жареная папайя, 150г",174.99
"Кофе НЕСКАФЕ, Классик Крема, ра створимый, 95г",174.99
"Смесь фруктово-ореховая ВОСТОЧНЫЙ ГОСТЬ жареная папайя, 150г",174.99
"Кофе ЖОКЕЙ, Триумф, сублимированный, 95г",178.99
"Пирог БРАУНИ соленая карамель (Черёмушки), 380г",179.90
"Кофе БЕЛАДЖИО Делюкс сублимированный средней обжарки, 95г",179.90
"Нектар ФРУКТОВЫЙ САД, мультифруктовый c мякотью, 1,93л",179.99
"СКУМБРИЯ, 1кг",179.99
"Сыр БЕЛЕБЕЕВСКИЙ 45%, 190г",179.99
"СКУМБРИЯ, 1кг",179.99
"Кофе ЧЕРНАЯ КАРТА, Голд, сублимированный, 75г",179.99
"Сыр БЕЛЕБЕЕВСКИЙ 45%, 190г",179.99
"Кофе ЖОКЕЙ, Триумф, сублимированный, 95г",179.99
"Нектар ФРУКТОВЫЙ САД, персик-яблоко, с мякотью, 1,93л",179.99
"Нектар ФРУКТОВЫЙ САД, мультифруктовый c мякотью, 1,93л",179.99
"Нектар ФРУКТОВЫЙ САД, персик-яблоко, с мякотью, 1,93л",179.99
"Сок ФРУКТОВЫЙ САД Яблоко, 1,93л",179.99
"Скумбрия КОСИЧКА нарезка без головы, 300г",179.99
"КАЛЬМАР Тушка, неочищенный свежемороженый, 500г",179.99
"Брокколи HORTEX, Хортекс, 400г",179.99
"Брокколи HORTEX, Хортекс, 400г",179.99
"Брокколи HORTEX, Хортекс, 400г",179.99
"КАЛЬМАР Тушка, неочищенный свежемороженый, 500г",179.99
"Сок ФРУКТОВЫЙ САД, томатный с мякотью, 1,93л",179.99
"КАЛЬМАР Тушка, неочищенный свежемороженый, 500г",179.99
"Скумбрия КОСИЧКА нарезка без головы, 300г",179.99
"Кофе НЕСКАФЕ, Классик Крема, ра створимый, 95г",179.99
"Кофе ЧЕРНАЯ КАРТА, Голд, сублимированный, 75г",179.99
"Сок ФРУКТОВЫЙ САД Яблоко, 1,93л",179.99
"Сок ФРУКТОВЫЙ САД, томатный с мякотью, 1,93л",179.99
"Ветчина ДЛЯ ЗАВТРАКА (МДБ), 330г",182.99
"Ветчина ДЛЯ ЗАВТРАКА (МДБ), 330г",182.99
"Ветчина ДЛЯ ЗАВТРАКА (МДБ), 330г",182.99
"Сайра ДОБРОФЛОТ, натуральная, 245г",184.99
"Сайра ДОБРОФЛОТ, натуральная, 245г",184.99
"Молоко сгущенное АЛЕКСЕЕВСКОЕ, ГОСТ , 8,5%, 650г",187.99
"Торт вафельный ШОКОЛАДНИЦА, с арахисом, 430г",189.90
"Сосиски СЛИВОЧНЫЕ, (Клинский МК), 470г",189.99
"Чай ШАХ Голд черный индийский, 100пак",189.99
"Сайра ДОБРОФЛОТ, натуральная, с добавлением масла, 245г",189.99
"Чай ШАХ Голд черный индийский, 100пак",189.99
"Салями АСТОРИЯ сырокопченая (Черкизово), 225г",189.99
"Сосиски СЛИВОЧНЫЕ, (Клинский МК), 470г",189.99
"Сайра ДОБРОФЛОТ, натуральная, с добавлением масла, 245г",189.99
"Скумбрия КОСИЧКА нарезка без головы, 300г",189.99
"Наггетсы ХАЙ Хайггетс растительные, 200г",189.99
"Салями АСТОРИЯ сырокопченая (Черкизово), 225г",189.99
"Сосиски СЛИВОЧНЫЕ, (Клинский МК), 470г",189.99
"Наггетсы ХАЙ Хайггетс растительные, 200г",189.99
"Наггетсы ХАЙ Хайггетс растительные, 200г",189.99
"Пирог БРАУНИ соленая карамель (Черёмушки), 380г",189.99
"Салями АСТОРИЯ сырокопченая (Черкизово), 225г",189.99
"Бисквит CHOCO PIE с кокосом, 360г",189.99
"Сосиски СЛИВОЧНЫЕ, (Клинский МК), 470г",189.99
"Сосиски СЛИВОЧНЫЕ, (Клинский МК), 470г",189.99
"Бисквит CHOCO PIE с кокосом, 360г",189.99
"Сосиски СЛИВОЧНЫЕ, (Клинский МК), 470г",189.99
"Кофе BLACK SWAN® натуральный в зернах, 250г",195.99
"Кофе BLACK SWAN® натуральный в зернах, 250г",195.99
"Кофе МИЛАГРО Голд Роаст растворимый сублимированный средней
                обжарки, 95г",199.90
"Ветчина ПО-ЧЕРКИЗОВСКИ (ЧМПЗ), 500г",199.99
"Ветчина ПО-ЧЕРКИЗОВСКИ (ЧМПЗ), 500г",199.99
"Котлеты БЕЛОРУССКИЕ, индейка, 560г",199.99
"Котлеты БЕЛОРУССКИЕ, индейка, 560г",199.99
"Ветчина ПО-ЧЕРКИЗОВСКИ (ЧМПЗ), 500г",199.99
"Котлеты БЕЛОРУССКИЕ, индейка, 560г",199.99
"Фундук ВОСТОЧНЫЙ ГОСТЬ жареный, 150г",199.99
"Сельдь РПЗ ПОЛЮС потрошеная с головой в пряной заливке, 1кг",199.99
"Сельдь РПЗ ПОЛЮС потрошеная с головой в пряной заливке, 1кг",199.99
"Сельдь РПЗ ПОЛЮС потрошеная с головой в пряной заливке, 1кг",199.99
"Фундук ВОСТОЧНЫЙ ГОСТЬ жареный, 150г",199.99
"Колбаса МЯСНОЙ ДОМ БОРОДИНА Докторская вареная, 400г",199.99
"Колбаса ДОКТОРСКАЯ (Мясницкий ряд), 400г",199.99
"Варенье РАТИБОР клубника, 360г",199.99
"Колбаса ДОКТОРСКАЯ (Мясницкий ряд), 400г",199.99
"Колбаса МЯСНОЙ ДОМ БОРОДИНА Докторская вареная, 400г",199.99
"Колбаса ДОКТОРСКАЯ (Мясницкий ряд), 400г",199.99
"Колбаса МЯСНОЙ ДОМ БОРОДИНА Докторская вареная, 400г",199.99
"Сыр плавленый ПРЕЗИДЕНТ, сливочный, 45%, 400г",209.90
"Смесь СЕМУШКА жареных орехов и изюма, 150г",214.99
"Колбаса РУБЛЕВСКИЙ Русская вареная (Москворецкий), 400г",214.99
"Смесь СЕМУШКА жареных орехов и изюма, 150г",214.99
"Крем для лица ЧИСТАЯ ЛИНИЯ, Ночной, Таволга/калина, 45мл",214.99
"Крем для лица ЧИСТАЯ ЛИНИЯ, Дневной, Таволга/калина, 45мл",214.99
"Крем для лица ЧИСТАЯ ЛИНИЯ, Ночной, Таволга/калина, 45мл",214.99
"Крем для лица ЧИСТАЯ ЛИНИЯ, Дневной, Таволга/калина, 45мл",214.99
"Колбаса РУБЛЕВСКИЙ Русская вареная (Москворецкий), 400г",214.99
"Колбаса РУБЛЕВСКИЙ Русская вареная (Москворецкий), 400г",214.99
"Сыр плавленый ПРЕЗИДЕНТ, с ветчиной, 400г",219.90
"Шампунь ФРУКТИС СОС, Восстановление, 400мл",219.90
"Кофе НЕСКАФЕ Голд, сублимированный с молотым, 75г",219.90
"Скумбрия БАЛТИЙСКИЙ БЕРЕГ, Атлантическая, холодного копчения,
                280г",219.99
"Крабовые палочки ВИЧИ, охлажденные, 250г",219.99
"Скумбрия БАЛТИЙСКИЙ БЕРЕГ, Атлантическая, холодного копчения,
                280г",219.99
"Крабовые палочки ВИЧИ, охлажденные, 250г",219.99
"Сыр плавленый ПРЕЗИДЕНТ, с ветчиной, 400г",219.99
"Сыр плавленый ПРЕЗИДЕНТ, сливочный, 45%, 400г",219.99
"Конфеты АССОРТИ (Конти-Рус), 235г",229.99
"Чай черный GREENFIELD Голден Цейлон, листовой, 200г",229.99
"Кофе JACOBS Крема растворимый сублимированный, 70г",229.99
"Чай черный GREENFIELD Голден Цейлон, листовой, 200г",229.99
"Кофе JACOBS Крема растворимый сублимированный, 70г",229.99
"Сыр ВАЙТ ЧИЗ ФРОМ ЖУКОВКА Бри 60%, 125г",229.99
"Сыр ВАЙТ ЧИЗ ФРОМ ЖУКОВКА Бри 60%, 125г",229.99
"Сыр ВАЙТ ЧИЗ ФРОМ ЖУКОВКА Бри 60%, 125г",229.99
"Кофе БЕЛАДЖИО Делюкс сублимированный средней обжарки, 95г",239.99
"Сервелат ГУРМАН, Ближние горки, варено-копченый (Дмитрогорский),
                500г",239.99
"Сервелат ГУРМАН, Ближние горки, варено-копченый (Дмитрогорский),
                500г",239.99
"Сыр плавленый ВИОЛА с лисичками 50%, 400г",239.99
"Сервелат ГУРМАН, Ближние горки, варено-копченый (Дмитрогорский),
                500г",239.99
"Сыр плавленый ВИОЛА сливочный 50%, 400г",239.99
"Холодец ДЕРЕВЕНСКИЙ (Ремит), 400г",239.99
"Холодец ДЕРЕВЕНСКИЙ (Ремит), 400г",239.99
"Чай черный БЕТА ТИ, байховый, крупнолистовой, 250г",239.99
"Мед УССУРИЙСКИЙ БАЛЬЗАМ, 1 штука (ЧП Берестова), 360г",239.99
"Холодец ДЕРЕВЕНСКИЙ (Ремит), 400г",239.99
"Колбаса КРАКОВСКАЯ, полукопченая (Дмитрогорский), 400г",246.99
"Колбаса КРАКОВСКАЯ, полукопченая (Дмитрогорский), 400г",246.99
"Колбаса КРАКОВСКАЯ, полукопченая (Дмитрогорский), 400г",246.99
"Кофе молотый ЧЕРНАЯ КАРТА, для заваривания в чашке, 250г",249.99
"Кофе молотый ЧЕРНАЯ КАРТА, для заваривания в чашке, 250г",249.99
"Кофе AMBASSADOR Platinum, растворимый, 95г",249.99
"Торт вафельный ШОКОЛАДНИЦА, с арахисом, 430г",249.99
"Шампунь ТРЕСЕММЕ, Репеа энд Протект, восстанавливающий, 400мл",249.99
"Шампунь ТРЕСЕММЕ, Репеа энд Протект, восстанавливающий, 400мл",249.99
"Кофе МОККО растворимый сублимированный, 95г",249.99
"Кофе МИЛАГРО Голд Роаст растворимый сублимированный средней
                обжарки, 95г",249.99
"Кофе AMBASSADOR Platinum, растворимый, 95г",249.99
"Кофе НЕСКАФЕ Голд, сублимированный с молотым, 75г",249.99
"Чай черный БЕТА ТИ, байховый, крупнолистовой, 250г",249.99
"Кофе МОККО растворимый сублимированный, 95г",249.99
"Абрикосы ВОСТОЧНЫЙ ГОСТЬ сушеные, 150г",253.99
"Чай черный ЛИПТОН шиповник-земляника, 100 пакетиков",259.99
"Колбаса ДОКТОРСКАЯ, (Клинский МК), 500г",259.99
"ГОРБУША свежемороженая (ТД Холдинг), 1кг",259.99
"Чай черный ЛИПТОН шиповник-земляника, 100 пакетиков",259.99
"Чай ЛИПТОН чёрный Голден Кения, 100пакетиков",259.99
"Чай черный ЛИПТОН, Эрл Грей, 100 пакетиков",259.99
"Чай черный ЛИПТОН, Эрл Грей, 100 пакетиков",259.99
"Чай ЛИПТОН чёрный Голден Кения, 100пакетиков",259.99
"Колбаса ДОКТОРСКАЯ, (Клинский МК), 500г",259.99
"Колбаса ДОКТОРСКАЯ, (Клинский МК), 500г",259.99
"Колбаса ДОКТОРСКАЯ, (Клинский МК), 500г",259.99
"Сыр плавленый ВИОЛА сливочный 50%, 400г",259.99
"Колбаса ДОКТОРСКАЯ, (Клинский МК), 500г",259.99
"Колбаса ДОКТОРСКАЯ, (Клинский МК), 500г",259.99
"Стейк МИРАТОРГ Блэк Ангус Тендер мраморная говядина, 260г",269.99
"Крылья цыпленка-бройлера СВОЯ По-мексикански охлажденные, 1кг",269.99
"Кофе ЧЕРНАЯ КАРТА, Голд, сублимированный, 150г",269.99
"Вареники МИРАТОРГ с вишней, 600г",269.99
"Крылья цыпленка-бройлера СВОЯ По-мексикански охлажденные, 1кг",269.99
"Стейк МИРАТОРГ Блэк Ангус Тендер мраморная говядина, 260г",269.99
"Крылья цыпленка-бройлера СВОЯ По-мексикански охлажденные, 1кг",269.99
"Голень ПЕТЕЛИНКА, охлажденная (Петелино ТД), 1кг",269.99
"Стейк МИРАТОРГ Блэк Ангус Тендер мраморная говядина, 260г",269.99
"Голень ПЕТЕЛИНКА, охлажденная (Петелино ТД), 1кг",269.99
"Кофе ЧЕРНАЯ КАРТА, Голд, сублимированный, 150г",269.99
"Голень ПЕТЕЛИНКА, охлажденная (Петелино ТД), 1кг",269.99
"Кешью СЕМУШКА жареный, 110г",279.99
"Кофе НЕСКАФЕ Классик растворимый, 190г",279.99
"Кешью СЕМУШКА жареный, 110г",279.99
"Кофе НЕСКАФЕ Классик растворимый, 190г",279.99
"Чай черный GREENFIELD Голден Цейлон, 100 пакетиков",279.99
"Чай черный GREENFIELD Голден Цейлон, 100 пакетиков",279.99
"Коктейль из морепродуктов МАРЕ Оливковый в масле, 380г",279.99
"Коктейль из морепродуктов МАРЕ Оливковый в масле, 380г",279.99
"Филе голени индейки ПАВА ПАВА охлажденное, 600г",279.99
"Филе голени индейки ПАВА ПАВА охлажденное, 600г",279.99
"Филе голени индейки ПАВА ПАВА охлажденное, 600г",279.99
"Коктейль из морепродуктов МАРЕ Оливковый в масле, 380г",279.99
"Кофе НЕСКАФЕ Голд, Бариста, молотый в растворимом, 85г",289.99
"Пельмени ГРАНДМЕНИ говядина-свинина, 750г",289.99
"Пельмени ГРАНДМЕНИ говядина-свинина, 750г",289.99
"Пельмени ГРАНДМЕНИ говядина-свинина, 750г",289.99
"Кофе НЕСКАФЕ Голд, Бариста, молотый в растворимом, 85г",289.99
"Кофе НЕСКАФЕ Голд, сублимированный с молотым, 95г",298.99
"Пельмени МИРАТОРГ Нежные из мяса птицы, 800г",299.99
"Кофе НЕСКАФЕ Голд, сублимированный с молотым, 95г",299.99
"Пельмени СИБИРСКАЯ КОЛЛЕКЦИЯ Классические говядина-свинина, 700г",309.99
"Водка ЗИМНЯЯ ДЕРЕВЕНЬКА солодовая 40%, 0,5л",309.99
"Пельмени СИБИРСКАЯ КОЛЛЕКЦИЯ Новосибирские говядина-свинина,
                700г",309.99
"Пельмени СИБИРСКАЯ КОЛЛЕКЦИЯ Классические говядина-свинина, 700г",309.99
"Пельмени СИБИРСКАЯ КОЛЛЕКЦИЯ Новосибирские говядина-свинина,
                700г",309.99
"Пельмени СИБИРСКАЯ КОЛЛЕКЦИЯ Новосибирские говядина-свинина,
                700г",309.99
"Пельмени СИБИРСКАЯ КОЛЛЕКЦИЯ Классические говядина-свинина, 700г",309.99
"Колбаса ЯЗЫКОВАЯ (Велком), 500г",314.99
"Колбаса ЯЗЫКОВАЯ (Велком), 500г",314.99
"Колбаса ЯЗЫКОВАЯ (Велком), 500г",314.99
"Бедро ПЕТЕЛИНКА, Цыпленка-бройлера, охлажденное, 1кг",314.99
"Бедро ПЕТЕЛИНКА, Цыпленка-бройлера, охлажденное, 1кг",314.99
"Бедро ПЕТЕЛИНКА, Цыпленка-бройлера, охлажденное, 1кг",314.99
"Коньяк СТАРЕЙШИНА, Трэвел, 3-летний 40%, 0,25л",319.99
"Водка ЗИМНЯЯ ДЕРЕВЕНЬКА солодовая 40%, 0,5л",319.99
"Миндаль PREMIERE OF TASTE® жареный, 150г",319.99
"Коньяк СТАРЕЙШИНА, Трэвел, 3-летний 40%, 0,25л",319.99
"Кофе JACOBS Карамель растворимый, 95г",319.99
"Миндаль PREMIERE OF TASTE® жареный, 150г",319.99
"Кофе JACOBS Лесной орех растворимый, 95г",319.99
"Кофе JACOBS Карамель растворимый, 95г",319.99
"Кофе JACOBS Лесной орех растворимый, 95г",319.99
"Миндаль PREMIERE OF TASTE® жареный, 150г",319.99
"Колбаса ФУЭТ ЭКСТРА, сырокопченая (ПИТ-ПРОДУКТ), 150г",329.99
"Кофе ЯКОБС МОНАРХ, сублимированный, 150г",329.99
"Колбаса ФУЭТ ЭКСТРА, сырокопченая (ПИТ-ПРОДУКТ), 150г",329.99
"Колбаса ФУЭТ ЭКСТРА, сырокопченая (ПИТ-ПРОДУКТ), 150г",329.99
"ФИЛЕ КУРИНОЕ, охлажденное (Калужская ПФ), 900г",329.99
"Кофе ЯКОБС МОНАРХ, сублимированный, 150г",329.99
"Пеленки КАСПЕР, одноразовые впитывающие, 60х60см, 20шт.",332.99
"Пеленки КАСПЕР, одноразовые впитывающие, 60х60см, 20шт.",332.99
"Торт ПЛОМБИР-КЛАССИК (Фили-Бейкер), 720г",335.39
"Торт ПЛОМБИР-КЛАССИК (Фили-Бейкер), 720г",335.39
"Торт ПЛОМБИР-КЛАССИК (Фили-Бейкер), 720г",335.39
"Торт ПЛОМБИР-КЛАССИК (Фили-Бейкер), 720г",335.39
"Торт ПЛОМБИР-КЛАССИК (Фили-Бейкер), 720г",335.39
"Торт ПЛОМБИР-КЛАССИК (Фили-Бейкер), 720г",335.39
"ТРЕСКА филе свежемороженая, 600г",339.99
"Паста зубная РОКС, Про, Активный кальций, 94г",339.99
"ТРЕСКА филе свежемороженая, 600г",339.99
"Чай АЗЕРЧАЙ Ленкорань черный крупнолистовой, 400г",349.99
"Чай АЗЕРЧАЙ Ленкорань черный крупнолистовой, 400г",349.99
"Пельмени МИРАТОРГ Дорпер из ягнятины, 700г",349.99
"Утенок табака НОВЫЕ УТИНЫЕ ФЕРМЫ охлажденный, 1кг",349.99
"Утенок табака НОВЫЕ УТИНЫЕ ФЕРМЫ охлажденный, 1кг",349.99
"Кофе НЕСКАФЕ Голд растворимый сублимированный, 130г",349.99
"Кофе JARDIN Эфиопия Эйфория, молотый, 250г",349.99
"Кофе JARDIN Эфиопия Эйфория, молотый, 250г",349.99
"Утенок табака НОВЫЕ УТИНЫЕ ФЕРМЫ охлажденный, 1кг",349.99
"Буженина МИРАТОРГ, Домашняя, маринованная, охлажденная, 1кг",359.99
"Буженина МИРАТОРГ, Домашняя, маринованная, охлажденная, 1кг",359.99
